"covidence_id","source","paper_title","short_cite","citation","link","spec_site","site","WDPA.ID","plot_size_ha","lat","long","area","paper_month_start","paper_year_start","paper_month_end","paper_year_end","method","fruit_flower","onset","end","percent_species","percent_indiv","reproduction % basal area","other_descript","onset_date","end_date","paper_start_month","paper_end_month","paper_start_date","paper_end_date"
"10","lit review","Fallback Foods of Red Leaf Monkeys (Presbytis rubicunda) in Danum Valley, Borneo","Hanya & Bernard 2012","Hanya, G., Bernard, H. Fallback Foods of Red Leaf Monkeys (Presbytis rubicunda) in Danum Valley, Borneo. Int J Primatol 33, 322–337 (2012). https://doi.org/10.1007/s10764-012-9580-9","https://link.springer.com/article/10.1007/s10764-012-9580-9","Danum Valley Field Centre","Danum Valley","10279","43800","4.964768","117.805078","Sabah","December",2006,"December",2008,"monthly direct monitoring of sample trees","fruit","May 2007","October 2007",NA,NA,NA,NA,2007-05-01,2007-10-01,"December","December",2006-12-01,2008-12-01
"28","lit review","The influence of logging on vertebrate responses to mast fruiting","Granados, Bernard & Brodie, 2019","Granados A, Bernard H, Brodie JF. The influence of logging on vertebrate responses to mast fruiting. J Anim Ecol. 2019; 88: 892–902. https://doi.org/10.1111/1365-2656.12983","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12983","Danum Valley Conservation Area","Danum Valley","10279","43800","5.102","117.688","Sabah","May",2013,"September",2015,"fruit traps, ground collection","fruit","May 2014","September 2014",NA,NA,NA,NA,2014-05-01,2014-09-01,"May","September",2013-05-01,2015-09-01
"15","lit review","Fruit tree phenology in traditionally managed versus protected forests in Malaysian Borneo","Cosby et al. 2022","Cosby, O. G., Bodos, V., Ragai, R., Van Deelen, T. R., & McShea, W. J. (2022). Fruit tree phenology in traditionally managed versus protected forests in Malaysian Borneo. Biotropica, 54, 691–707. https://doi.org/10.1111/btp.13083","https://onlinelibrary.wiley.com/doi/10.1111/btp.13083","Nanga Segerak","Lanjak Entimau Wildlife Sanctuary","1300","168,800","1.446594374","112.0720699","Sarawak","October",2016,"January",2020,"fruit on ground, binoculars","fruit","October 2018","March 2019",NA,NA,NA,NA,2018-10-01,2019-03-01,"October","January",2016-10-01,2020-01-01
"17","lit review","Seed predation during general flowering events of varying magnitude in a Malaysian rain forest","Sun et al. 2007","SUN, I.-F., CHEN, Y.-Y., HUBBELL, S.P., WRIGHT, S.J. and NOOR, N.S.M. (2007), Seed predation during general flowering events of varying magnitude in a Malaysian rain forest. Journal of Ecology, 95: 818-827. https://doi.org/10.1111/j.1365-2745.2007.01235.x","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2745.2007.01235.x",NA,"Pasoh Forest Reserve","NA","600","2.9797222","102.3080556","Peninsular Malaysia","August",2001,"June",2005,"binoculars","flower","August 2001","August 2001","75%","19.80%",NA,NA,2001-08-01,2001-08-01,"August","June",2001-08-01,2005-06-01
"17","lit review","Seed predation during general flowering events of varying magnitude in a Malaysian rain forest","Sun et al. 2007","SUN, I.-F., CHEN, Y.-Y., HUBBELL, S.P., WRIGHT, S.J. and NOOR, N.S.M. (2007), Seed predation during general flowering events of varying magnitude in a Malaysian rain forest. Journal of Ecology, 95: 818-827. https://doi.org/10.1111/j.1365-2745.2007.01235.x","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2745.2007.01235.x",NA,"Pasoh Forest Reserve","NA","600","2.9797222","102.3080556","Peninsular Malaysia","August",2001,"June",2005,"binoculars","flower","April 2002","April 2002","85.70%","35.70%",NA,NA,2002-04-01,2002-04-01,"August","June",2001-08-01,2005-06-01
"17","lit review","Seed predation during general flowering events of varying magnitude in a Malaysian rain forest","Sun et al. 2007","SUN, I.-F., CHEN, Y.-Y., HUBBELL, S.P., WRIGHT, S.J. and NOOR, N.S.M. (2007), Seed predation during general flowering events of varying magnitude in a Malaysian rain forest. Journal of Ecology, 95: 818-827. https://doi.org/10.1111/j.1365-2745.2007.01235.x","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2745.2007.01235.x",NA,"Pasoh Forest Reserve","NA","600","2.9797222","102.3080556","Peninsular Malaysia","August",2001,"June",2005,"binoculars","flower","April 2005","April 2005","85.20%","65.10%",NA,NA,2005-04-01,2005-04-01,"August","June",2001-08-01,2005-06-01
"18","lit review","Vertebrate responses to spatiotemporal variation in seed production of mast-fruiting dipterocarpaceae","Curran & Leighton 2000","Curran, L.M. and Leighton, M. (2000), VERTEBRATE RESPONSES TO SPATIOTEMPORAL VARIATION IN SEED PRODUCTION OF MAST-FRUITING DIPTEROCARPACEAE. Ecological Monographs, 70: 101-128. https://doi.org/10.1890/0012-9615(2000)070[0101:VRTSVI]2.0.CO;2","https://www.google.com/search?q=Vertebrate+responses+to+spatiotemporal+variation+in+seed+production+of+mast-fruiting+dipterocarpaceae&oq=Vertebrate+responses+to+spatiotemporal+variation+in+seed+production+of+mast-fruiting+dipterocarpaceae&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg80gEHMzA2ajBqNKgCALACAQ&sourceid=chrome&ie=UTF-8","Cabang Panti Research Station","Gunung Palung National Park","20378","1500","-1.2166667","110.1166667","West Kalimantan","March",1985,"January",1993,"quantifying plots, binoculars","fruit","August 1986","August 1986",NA,NA,"lowland 30.8, all habitats 20.2","minor mast, no range given",1986-08-01,1986-08-01,"March","January",1985-03-01,1993-01-01
"18","lit review","Vertebrate responses to spatiotemporal variation in seed production of mast-fruiting dipterocarpaceae","Curran & Leighton 2000","Curran, L.M. and Leighton, M. (2000), VERTEBRATE RESPONSES TO SPATIOTEMPORAL VARIATION IN SEED PRODUCTION OF MAST-FRUITING DIPTEROCARPACEAE. Ecological Monographs, 70: 101-128. https://doi.org/10.1890/0012-9615(2000)070[0101:VRTSVI]2.0.CO;2","https://www.google.com/search?q=Vertebrate+responses+to+spatiotemporal+variation+in+seed+production+of+mast-fruiting+dipterocarpaceae&oq=Vertebrate+responses+to+spatiotemporal+variation+in+seed+production+of+mast-fruiting+dipterocarpaceae&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg80gEHMzA2ajBqNKgCALACAQ&sourceid=chrome&ie=UTF-8","Cabang Panti Research Station","Gunung Palung National Park","20378","1500","-1.2166667","110.1166667","West Kalimantan","March",1985,"January",1993,"fruit fall traps","fruit","February 1987","April 1987",NA,NA,"92.8","major mast",1987-02-01,1987-04-01,"March","January",1985-03-01,1993-01-01
"18","lit review","Vertebrate responses to spatiotemporal variation in seed production of mast-fruiting dipterocarpaceae","Curran & Leighton 2000","Curran, L.M. and Leighton, M. (2000), VERTEBRATE RESPONSES TO SPATIOTEMPORAL VARIATION IN SEED PRODUCTION OF MAST-FRUITING DIPTEROCARPACEAE. Ecological Monographs, 70: 101-128. https://doi.org/10.1890/0012-9615(2000)070[0101:VRTSVI]2.0.CO;2","https://www.google.com/search?q=Vertebrate+responses+to+spatiotemporal+variation+in+seed+production+of+mast-fruiting+dipterocarpaceae&oq=Vertebrate+responses+to+spatiotemporal+variation+in+seed+production+of+mast-fruiting+dipterocarpaceae&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg80gEHMzA2ajBqNKgCALACAQ&sourceid=chrome&ie=UTF-8","Cabang Panti Research Station","Gunung Palung National Park","20378","1500","-1.2166667","110.1166667","West Kalimantan","March",1985,"January",1993,"fruit fall traps","fruit","February 1991","April 1991",NA,NA,"88","major mast",1991-02-01,1991-04-01,"March","January",1985-03-01,1993-01-01
"25","lit review","Chemical defences of fruits and mast-fruiting of dipterocarps","Numata et al. 1999","Numata, S., Kachi, N., Okuda, T., & Manokaran, N. (1999). Chemical Defences of Fruits and Mast-Fruiting of Dipterocarps. Journal of Tropical Ecology, 15(5), 695–700. http://www.jstor.org/stable/2560213","https://www.jstor.org/stable/2560213?seq=3",NA,"Pasoh Forest Reserve","NA","50","2.982","102.313","Peninsular Malaysia","August",1996,"September",1996,"Other: seed collection only for dry weight and chemical measure","fruit","August 1996","September 1996",NA,NA,NA,"""tremendous amounts of dipterocarp fruits were dispersed and synchronous germination was observed""",1996-08-01,1996-09-01,"August","September",1996-08-01,1996-09-01
